Epoch,learning rate,training loss,training energy/scan RMSE (per atom),training energy/scan MAE (per atom),training forces[energy/scan] RMSE,training forces[energy/scan] MAE,training virial[energy/scan] RMSE (per atom),training virial[energy/scan] MAE (per atom),training mtt::dipole RMSE (per atom),training mtt::dipole MAE (per atom),validation loss,validation energy/scan RMSE (per atom),validation energy/scan MAE (per atom),validation forces[energy/scan] RMSE,validation forces[energy/scan] MAE,validation virial[energy/scan] RMSE (per atom),validation virial[energy/scan] MAE (per atom),validation mtt::dipole RMSE (per atom),validation mtt::dipole MAE (per atom)
,,,meV,meV,meV/A,meV/A,meV,meV,,,,meV,meV,meV/A,meV/A,meV,meV,,
  86,4.996e-05,1.060e+02,3.5588,3.2849,176.44,137.23,29.089,16.521,0.09543,0.077050,1.564e+01,2.5088,2.2494,148.72,115.31,12.434, 8.339,0.087591,0.071648
  87,4.996e-05,9.376e+01,1.9832,1.6265,161.97,125.55,19.088,11.267,0.09523,0.076559,2.806e+01,3.7146,3.5783,207.29,165.93,40.306,24.996,0.087495,0.071732
  88,4.996e-05,1.103e+02,2.7782,2.3975,177.90,138.78,29.061,17.051,0.09548,0.076655,1.985e+01,2.2921,2.0001,171.51,134.47,21.085,13.512,0.087388,0.071667
  89,4.996e-05,1.073e+02,4.1279,3.7001,174.13,135.71,27.387,15.586,0.09490,0.077063,1.510e+01,5.0576,4.9543,144.96,112.38,18.795,12.236,0.087033,0.071263
  90,4.996e-05,8.846e+01,3.0853,2.6644,158.81,123.07,18.476,11.329,0.09484,0.076311,1.852e+01,4.4635,4.3501,163.47,127.98,26.755,16.971,0.087516,0.071759
  91,4.996e-05,1.033e+02,3.6102,3.3058,173.58,135.35,29.211,17.461,0.09520,0.076369,2.145e+01,1.4271,1.1308,179.30,141.24,23.833,15.131,0.087525,0.071645
  92,4.996e-05,1.025e+02,2.7053,2.1998,167.86,130.60,23.852,13.766,0.09521,0.077019,2.434e+01,4.6988,4.5931,191.42,152.31,35.751,22.284,0.087375,0.071658
  93,4.996e-05,9.738e+01,3.0185,2.5806,166.05,129.25,23.473,14.204,0.09467,0.076831,1.288e+01,3.1798,2.9987,131.58,101.45, 4.822, 3.423,0.087462,0.071792
  94,4.996e-05,9.983e+01,4.0603,3.7979,170.09,132.30,28.366,16.067,0.09539,0.077148,1.467e+01,2.9563,2.7495,142.98,110.89,11.502, 7.706,0.087261,0.071578
  95,4.995e-05,8.825e+01,2.8427,2.4302,156.05,120.93,18.359,10.815,0.09461,0.076235,2.644e+01,5.5680,5.4788,200.38,160.33,38.588,23.951,0.087664,0.072128
